Nom;X;Y
E10I1;510318,99;4788584,88
E10I2;513620,34;4787559,46
E9I1;507441,6;4789535,84
E9I2;507446,6;4788154,23
E8I1;515679,75;4786284,67
E8I2;515899,04;4787168,95
E7I1;503992,5;4782001,23
E7I2;504378,37;4787608,62
E6I1;502206,32;4775785,75
E5I1;515537,08;4783793,31
E4I1;504258,2;4788365,93
E3I1;503614,38;4781926,06
E2I1;502855,47;4781649,84
E1I1;502734,27;4778113,24
E11I1;501574,5;4778114,98
E12I;505089,12;4782661,94
E12I2;504587,71;4781509,71
E13I1;509459,76;4789452,15
E13I2;506722,41;4786886,36
E14I1;507649,65;4789198,05
E14I2;512160,89;4788588,33
E15I1;509972,52;4775175,02
E16I1;505936,12;4788994,75
E17I1;502318,55;4777482,43
E17I2;501121,82;4778061,37
E18I1;502642,4;4785844,42
E19I1;507072,82;4789033,93
E19I2;511467,65;4788392,82
E20I1;504957;4772394,71
E21I1;514295,92;4788369,54
E21I2;510980,48;4788101,39
E21I3;511495,9;4789546,49
E22I1;510052,65;4783919,81
E23I1;499140,88;4785180,43
E24I1;515115,71;4787480,77
E24I2;513874,77;4788203,97
E25I1;504754,17;4770497,6
E26I1;506932,71;4773964,46
E27I1;503110,28;4782420,1
E27I2;504082,89;4782750,88
E27I3;506175,34;4786220,74
E28E1;504345,97;4782622,11
E28E2;505428,06;4782393,35
